"Category","Number of objects","Objects automatically converted","Objects with simple actions","Objects with medium-complexity actions","Objects with complex actions","Total lines of code"
"FUNCTION","3","2","0","1","0",""
"PROCEDURE","3","0","0","0","3",""
"VIEW","7","3","3","0","1",""
"TRIGGER","6","5","1","0","0",""
"INDEX","22","22","0","0","0",""
"CONSTRAINT","40","40","0","0","0",""
"TABLE","16","1","12","0","3",""
"SCHEMA","1","1","0","0","0",""
"SQL_syntax_elements_number","3977","3311","","",""
"Storage_objects_count","79","76","","",""
"Code_objects_count","19","14","","",""

"Source database: sakila.root@localhost:3306"
"MySQL Community Server - GPL 8.0.26"
