"Category","Occurrence","Action item","Subject","Group","Description","Documentation references","Recommended action","Filtered","Estimated complexity","Line","Position"
"function","Schemas.sakila.Functions.inventory_held_by_customer: Line 3:62","8844","","Error codes are not the same. You need to check the result of the conversion","Error codes are not the same. You need to check the result of the conversion","null","You need to check the result of the conversion.","","Simple","3","62"
"procedure","Schemas.sakila.Procedures.film_in_stock: Line 8:162","9996","Transformer error occurred","Internal Converter error occurred","Transformer error occurred","null","Please submit report to developers.","","Complex","8","162"
"procedure","Schemas.sakila.Procedures.film_not_in_stock: Line 8:166","9996","Transformer error occurred","Internal Converter error occurred","Transformer error occurred","null","Please submit report to developers.","","Complex","8","166"
"procedure","Schemas.sakila.Procedures.rewards_report: Line 40:1332","9996","Transformer error occurred","Internal Converter error occurred","Transformer error occurred","null","Please submit report to developers.","","Complex","40","1332"
"view","Schemas.sakila.Views.actor_info: Line 1:187","8795","","Postgres is case sensitive. Check the string comparison","Postgres is case sensitive. Check the string comparison","null","Check the string comparison.","","Simple","1","187"
"view","Schemas.sakila.Views.actor_info: Line 1:488","8795","","Postgres is case sensitive. Check the string comparison","Postgres is case sensitive. Check the string comparison","null","Check the string comparison.","","Simple","1","488"
"view","Schemas.sakila.Views.sales_by_store: Line 1:706","8795","","Postgres is case sensitive. Check the string comparison","Postgres is case sensitive. Check the string comparison","null","Check the string comparison.","","Simple","1","706"
"view","Schemas.sakila.Views.sales_by_store: Line 1:721","8795","","Postgres is case sensitive. Check the string comparison","Postgres is case sensitive. Check the string comparison","null","Check the string comparison.","","Simple","1","721"
"view","Schemas.sakila.Views.film_list: Line 1:0","8851","","PostgreSQL doesn't support use of the aggregate functions with other fields without GROUP BY clause","PostgreSQL doesn't support use of the aggregate functions with other fields without GROUP BY clause","null","Perform a manual conversion.","","Simple","1","0"
"view","Schemas.sakila.Views.nicer_but_slower_film_list: Line 1:0","8851","","PostgreSQL doesn't support use of the aggregate functions with other fields without GROUP BY clause","PostgreSQL doesn't support use of the aggregate functions with other fields without GROUP BY clause","null","Perform a manual conversion.","","Simple","1","0"
"view","Schemas.sakila.Views.actor_info: Line 1:100","8811","GROUP_CONCAT","Unable to convert functions","PostgreSQL doesn't support the GROUP_CONCAT function","null","Create a user-defined function.","","Complex","1","100"
"trigger","Schemas.sakila.Tables.film.Triggers.upd_film: Line 2:14","8795","","Postgres is case sensitive. Check the string comparison","Postgres is case sensitive. Check the string comparison","null","Check the string comparison.","","Simple","2","14"
"trigger","Schemas.sakila.Tables.film.Triggers.upd_film: Line 2:42","8795","","Postgres is case sensitive. Check the string comparison","Postgres is case sensitive. Check the string comparison","null","Check the string comparison.","","Simple","2","42"
"table","Schemas.sakila.Tables.address.Columns.location","8706","geometry","Unable to convert datatypes","PostgreSQL doesn't support geometry type","null","To store data of this type in PostgreSQL, use a PostgreSQL-compatible type or use a composite type.","","Simple","",""
"table","Schemas.sakila.Tables.film.Columns.special_features","8706","SET","Unable to convert datatypes","PostgreSQL doesn't support SET type","null","To store data of this type in PostgreSQL, use a PostgreSQL-compatible type or use a composite type.","","Simple","",""
"table","Schemas.sakila.Tables.staff.Columns.picture","8706","blob","Unable to convert datatypes","PostgreSQL doesn't support blob type","null","To store data of this type in PostgreSQL, use a PostgreSQL-compatible type or use a composite type.","","Simple","",""
"table","Schemas.sakila.Tables.actor.Columns.last_update","8825","","Check the default value for a Date or DateTime column","Check the default value for a Date or DateTime column","null","Please review generated code and modify it if necessary.","","Simple","",""
"table","Schemas.sakila.Tables.address.Columns.last_update","8825","","Check the default value for a Date or DateTime column","Check the default value for a Date or DateTime column","null","Please review generated code and modify it if necessary.","","Simple","",""
"table","Schemas.sakila.Tables.category.Columns.last_update","8825","","Check the default value for a Date or DateTime column","Check the default value for a Date or DateTime column","null","Please review generated code and modify it if necessary.","","Simple","",""
"table","Schemas.sakila.Tables.city.Columns.last_update","8825","","Check the default value for a Date or DateTime column","Check the default value for a Date or DateTime column","null","Please review generated code and modify it if necessary.","","Simple","",""
